Wall time,Step,Value
1767452416,10,0.165000006
1767452450,20,0.239999994
1767452485,30,0.165000006
1767452520,40,0.315000012
1767452556,50,0.189999997
1767452594,60,0.239999994
1767452631,70,0.2025
1767452668,80,0.215000003
1767452705,90,0.352500006
1767452741,100,0.252499997
1767452778,110,0.177499994
1767452815,120,0.227500006
1767452851,130,0.177499994
1767452888,140,0.227500006
1767452925,150,0.265
1767452963,160,0.215000003
1767453000,170,0.315000012
1767453036,180,0.215000003
1767453072,190,0.352500006
1767453110,200,0.2025
1767453148,210,0.252499997
1767453185,220,0.315000012
1767453222,230,0.352500006
1767453259,240,0.3275
1767453295,250,0.39
1767453332,260,0.3275
1767453369,270,0.49
1767453407,280,0.58
1767453443,290,0.542499976
1767453481,300,0.567500012
1767453518,310,0.692500012
1767453554,320,0.6425
1767453592,330,0.742500024
1767453628,340,0.742500024
1767453664,350,0.78
1767453701,360,0.655
1767453737,370,0.802500024
1767453774,380,0.68
1767453811,390,0.812500012
1767453848,400,0.6425
1767453884,410,0.705
1767453921,420,0.755000012
1767453957,430,0.812500012
1767453994,440,0.742500024
1767454031,450,0.765
1767454067,460,0.8275
1767454103,470,0.815000012
1767454139,480,0.742500024
1767454176,490,0.79
1767454212,500,0.79
1767454249,510,0.73
1767454285,520,0.79
1767454322,530,0.755000012
1767454359,540,0.765
1767454396,550,0.815000012
1767454432,560,0.765
1767454468,570,0.742500024
1767454504,580,0.73
1767454541,590,0.6675
1767454578,600,0.755000012
1767454615,610,0.7675
1767454651,620,0.7675
1767454687,630,0.8275
1767454723,640,0.742500024
1767454760,650,0.8275
1767454796,660,0.742500024
1767454832,670,0.8275
1767454869,680,0.73
1767454906,690,0.8275
1767454943,700,0.802500024
1767454979,710,0.78
1767455016,720,0.755000012
1767455053,730,0.815000012
1767455089,740,0.705
1767455126,750,0.84
1767455163,760,0.73
1767455200,770,0.73
1767455236,780,0.78
1767455273,790,0.792499976
1767455309,800,0.78
1767455346,810,0.9
1767455382,820,0.792499976
1767455418,830,0.8525
1767455455,840,0.792499976
1767455491,850,0.73
1767455528,860,0.8525
1767455565,870,0.78
1767455601,880,0.8275
1767455638,890,0.765
1767455675,900,0.802500024
1767455711,910,0.755000012
1767455748,920,0.755000012
1767455786,930,0.755000012
1767455823,940,0.9
1767455860,950,0.755000012
1767455897,960,0.79
1767455933,970,0.755000012
1767455970,980,0.8275
1767456007,990,0.8875
1767456044,1000,0.792499976
1767456080,1010,0.8775
1767456117,1020,0.815000012
1767456154,1030,0.865000024
1767456191,1040,0.94
1767456227,1050,0.765
1767456264,1060,0.755000012
1767456301,1070,0.78
1767456337,1080,0.802500024
1767456373,1090,0.8525
1767456410,1100,0.8275
1767456447,1110,0.8775
1767456484,1120,0.78
1767456521,1130,0.765
1767456557,1140,0.755000012
1767456594,1150,0.815000012
1767456632,1160,0.8775
1767456669,1170,0.84
1767456706,1180,0.865000024
1767456743,1190,0.8525
1767456780,1200,0.84
1767456817,1210,0.815000012
1767456854,1220,0.865000024
1767456892,1230,0.865000024
1767456928,1240,0.8525
1767456965,1250,0.815000012
1767457003,1260,0.792499976
1767457040,1270,0.802500024
1767457078,1280,0.792499976
1767457115,1290,0.865000024
1767457152,1300,0.8875
1767457190,1310,0.815000012
1767457227,1320,0.8275
1767457264,1330,0.802500024
1767457302,1340,0.865000024
1767457339,1350,0.78
1767457376,1360,0.802500024
1767457412,1370,0.8275
1767457448,1380,0.84
1767457484,1390,0.815000012
1767457522,1400,0.792499976
1767457558,1410,0.8525
1767457595,1420,0.8775
1767457631,1430,0.8775
1767457668,1440,0.865000024
1767457705,1450,0.802500024
1767457741,1460,0.802500024
1767457777,1470,0.8875
1767457814,1480,0.802500024
1767457851,1490,0.815000012
1767457888,1500,0.8275
1767457925,1510,0.84
1767457962,1520,0.8275
1767457998,1530,0.792499976
1767458035,1540,0.84
1767458073,1550,0.765
1767458109,1560,0.865000024
1767458145,1570,0.802500024
1767458182,1580,0.815000012
1767458219,1590,0.815000012
1767458256,1600,0.8775
1767458292,1610,0.802500024
1767458330,1620,0.8775
1767458367,1630,0.792499976
1767458404,1640,0.84
1767458440,1650,0.94
1767458477,1660,0.815000012
1767458514,1670,0.8775
1767458550,1680,0.792499976
1767458587,1690,0.78
1767458624,1700,0.78
1767458661,1710,0.865000024
1767458697,1720,0.84
1767458733,1730,0.815000012
1767458769,1740,0.8525
1767458806,1750,0.84
1767458842,1760,0.8525
1767458879,1770,0.84
1767458915,1780,0.8875
1767458951,1790,0.815000012
1767458987,1800,0.802500024
1767459024,1810,0.865000024
1767459061,1820,0.865000024
1767459098,1830,0.8775
1767459135,1840,0.8525
1767459171,1850,0.792499976
1767459207,1860,0.865000024
1767459244,1870,0.8775
1767459280,1880,0.865000024
1767459317,1890,0.865000024
1767459354,1900,0.9025
1767459391,1910,0.815000012
1767459426,1920,0.94
1767459463,1930,0.865000024
1767459499,1940,0.8875
1767459535,1950,0.865000024
1767459572,1960,0.9025
1767459608,1970,0.8775
1767459644,1980,0.8525
1767459682,1990,0.84
1767459719,2000,0.8525
1767459755,2010,0.9025
1767459791,2020,0.8525
1767459828,2030,0.8525
1767459865,2040,0.8525
1767459901,2050,0.8525
1767459939,2060,0.8875
1767459975,2070,0.8775
1767460012,2080,0.8525
1767460050,2090,0.84
1767460087,2100,0.815000012
1767460123,2110,0.8275
1767460160,2120,0.8775
1767460198,2130,0.9275
1767460234,2140,0.865000024
1767460272,2150,0.8525
1767460310,2160,0.8875
1767460347,2170,0.84
1767460384,2180,0.95
1767460420,2190,0.865000024
1767460458,2200,0.8775
1767460494,2210,0.865000024
1767460531,2220,0.84
1767460568,2230,0.78
1767460605,2240,0.9025
1767460642,2250,0.8525
1767460678,2260,0.8775
1767460714,2270,0.9025
1767460751,2280,0.865000024
1767460788,2290,0.865000024
1767460824,2300,0.8525
1767460860,2310,0.8525
1767460897,2320,0.84
1767460934,2330,0.865000024
1767460972,2340,0.8875
1767461008,2350,0.8875
1767461045,2360,0.755000012
1767461082,2370,0.9025
1767461119,2380,0.8775
1767461155,2390,0.78
1767461192,2400,0.8275
1767461229,2410,0.792499976
1767461266,2420,0.865000024
1767461303,2430,0.8525
1767461340,2440,0.865000024
1767461376,2450,0.9025
1767461413,2460,0.865000024
1767461449,2470,0.8875
1767461486,2480,0.8875
1767461522,2490,0.865000024
1767461559,2500,0.792499976
1767461596,2510,0.865000024
1767461632,2520,0.765
1767461669,2530,0.915
1767461707,2540,0.8525
1767461743,2550,0.84
1767461780,2560,0.8875
1767461816,2570,0.865000024
1767461853,2580,0.94
1767461889,2590,0.8875
1767461926,2600,0.84
1767461963,2610,0.865000024
1767461999,2620,0.8875
1767462035,2630,0.9025
1767462073,2640,0.9025
1767462108,2650,0.865000024
1767462144,2660,0.8525
1767462181,2670,0.8525
1767462217,2680,0.8875
1767462254,2690,0.8875
1767462291,2700,0.9275
1767462327,2710,0.8775
1767462363,2720,0.8525
1767462399,2730,0.9275
1767462435,2740,0.8525
1767462471,2750,0.802500024
1767462507,2760,0.8875
1767462544,2770,0.94
1767462581,2780,0.78
1767462618,2790,0.915
1767462654,2800,0.8275
1767462691,2810,0.8775
1767462729,2820,0.8875
1767462766,2830,0.9025
1767462802,2840,0.865000024
1767462838,2850,0.8275
1767462875,2860,0.915
1767462911,2870,0.8775
1767462947,2880,0.84
1767462984,2890,0.8525
1767463020,2900,0.755000012
1767463057,2910,0.8275
1767463094,2920,0.8775
1767463131,2930,0.915
1767463168,2940,0.95
1767463205,2950,0.915
1767463242,2960,0.84
1767463279,2970,0.84
1767463316,2980,0.915
1767463353,2990,0.8875
1767463389,3000,0.8775
1767463426,3010,0.865000024
1767463464,3020,0.8775
1767463501,3030,0.9025
1767463537,3040,0.865000024
1767463574,3050,0.8275
1767463610,3060,0.8875
1767463647,3070,0.915
1767463684,3080,0.915
1767463721,3090,0.9025
1767463758,3100,0.815000012
1767463795,3110,0.9025
1767463832,3120,0.802500024
1767463869,3130,0.84
1767463906,3140,0.84
1767463942,3150,0.9275
1767463980,3160,0.95
1767464017,3170,0.8875
1767464053,3180,0.94
1767464091,3190,0.8275
1767464127,3200,0.8875
1767464163,3210,0.8275
1767464201,3220,0.9025
1767464238,3230,0.915
1767464275,3240,0.8875
1767464311,3250,0.802500024
1767464348,3260,0.8525
1767464385,3270,0.8875
1767464422,3280,0.9275
1767464459,3290,0.94
1767464497,3300,0.9275
1767464533,3310,0.9025
1767464570,3320,0.84
1767464606,3330,0.815000012
1767464643,3340,0.865000024
1767464681,3350,0.8275
1767464717,3360,0.9025
1767464754,3370,0.8875
1767464791,3380,0.9025
1767464827,3390,0.8525
1767464864,3400,0.865000024
1767464900,3410,0.9025
1767464937,3420,0.8775
1767464973,3430,0.84
1767465010,3440,0.8525
1767465046,3450,0.8875
1767465082,3460,0.9025
1767465118,3470,0.8775
1767465155,3480,0.84
1767465193,3490,0.94
1767465230,3500,0.8525
1767465266,3510,0.8775
1767465303,3520,0.9275
1767465341,3530,0.95
1767465378,3540,0.9025
1767465415,3550,0.8275
1767465451,3560,0.8875
1767465488,3570,0.8775
1767465524,3580,0.792499976
1767465560,3590,0.8875
1767465596,3600,0.9025
1767465633,3610,0.8775
1767465670,3620,0.84
1767465707,3630,0.9025
1767465744,3640,0.915
1767465781,3650,0.865000024
1767465817,3660,0.84
1767465853,3670,0.95
1767465890,3680,0.8775
1767465927,3690,0.9025
1767465963,3700,0.9025
1767465999,3710,0.9025
1767466036,3720,0.915
1767466072,3730,0.8875
1767466109,3740,0.84
1767466145,3750,0.915
