Wall time,Step,Value
1765322850,10,0.009954604
1765322884,20,0.016633153
1765322919,30,0.013308285
1765322954,40,0.008807518
1765322991,50,0.020182934
1765323028,60,-0.002159016
1765323066,70,0.036663733
1765323103,80,0.008196703
1765323139,90,0.049142509
1765323175,100,0.014401682
1765323212,110,0.01202027
1765323248,120,0.006527923
1765323285,130,0.010779551
1765323321,140,-0.003334141
1765323358,150,0.03640545
1765323395,160,1.34E-02
1765323432,170,0.020810736
1765323468,180,0.019041869
1765323504,190,0.060115769
1765323542,200,-0.002940774
1765323579,210,0.038870768
1765323615,220,0.018201527
1765323652,230,0.046856846
1765323689,240,0.022062936
1765323725,250,0.06390417
1765323762,260,0.041435383
1765323799,270,0.106543614
1765323837,280,0.157721434
1765323873,290,0.152391555
1765323910,300,0.187994012
1765323947,310,0.269839276
1765323984,320,0.320247793
1765324021,330,0.337385317
1765324058,340,0.391562234
1765324094,350,0.533883598
1765324131,360,0.366919248
1765324167,370,0.700166887
1765324204,380,0.54561235
1765324240,390,0.819748352
1765324277,400,0.625158807
1765324313,410,0.65893566
1765324351,420,0.723386541
1765324387,430,0.838155748
1765324425,440,0.94768078
1765324463,450,0.951548366
1765324499,460,1.096816603
1765324536,470,1.139071136
1765324572,480,0.846038272
1765324609,490,1.278165524
1765324645,500,1.250918266
1765324682,510,0.884323582
1765324719,520,1.25559466
1765324756,530,1.235952658
1765324793,540,1.271962865
1765324831,550,1.239344038
1765324867,560,1.16655319
1765324904,570,1.264398009
1765324940,580,1.28511169
1765324978,590,1.003980682
1765325016,600,1.293312787
1765325053,610,1.354695305
1765325089,620,1.112978717
1765325125,630,1.292429109
1765325162,640,1.299545984
1765325199,650,1.527480634
1765325236,660,1.250946131
1765325272,670,1.317825067
1765325310,680,1.358877913
1765325346,690,1.414979623
1765325383,700,1.708603823
1765325420,710,1.207415352
1765325457,720,1.308308464
1765325494,730,1.393650876
1765325531,740,1.157000142
1765325568,750,1.695517609
1765325605,760,1.496601372
1765325642,770,1.138236409
1765325679,780,1.2025314
1765325716,790,1.301314645
1765325752,800,1.553911118
1765325790,810,1.887412502
1765325827,820,1.324333985
1765325863,830,1.486917621
1765325901,840,1.570655247
1765325937,850,1.625879026
1765325974,860,1.55862676
1765326011,870,1.593843314
1765326047,880,1.720281219
1765326084,890,1.23569594
1765326121,900,1.747110413
1765326158,910,1.491428363
1765326195,920,1.379388939
1765326232,930,1.396622392
1765326269,940,1.715229074
1765326306,950,1.44973393
1765326342,960,1.603346881
1765326379,970,1.406073339
1765326416,980,1.469265446
1765326453,990,1.890273609
1765326490,1000,1.573122213
1765326527,1010,1.759752633
1765326563,1020,1.727640824
1765326600,1030,2.132109944
1765326637,1040,2.034208209
1765326673,1050,1.583427771
1765326709,1060,1.386474334
1765326747,1070,1.623740729
1765326784,1080,1.525872387
1765326820,1090,2.159529854
1765326857,1100,1.760729304
1765326893,1110,2.048730722
1765326931,1120,1.57012777
1765326967,1130,1.548979491
1765327003,1140,1.672888767
1765327041,1150,1.963448276
1765327078,1160,2.01136933
1765327115,1170,1.981189153
1765327152,1180,1.9358343
1765327189,1190,1.599059708
1765327226,1200,1.835657277
1765327262,1210,1.869425074
1765327299,1220,1.92305671
1765327336,1230,1.934712495
1765327373,1240,1.873128723
1765327410,1250,1.924936557
1765327446,1260,1.528543689
1765327484,1270,1.419508459
1765327521,1280,1.647571054
1765327558,1290,2.090190593
1765327595,1300,2.060816523
1765327633,1310,1.718444052
1765327670,1320,1.861230773
1765327707,1330,2.151165401
1765327744,1340,1.682975462
1765327781,1350,1.601217307
1765327818,1360,1.622255068
1765327853,1370,1.920115503
1765327890,1380,2.158758028
1765327926,1390,2.184123422
1765327963,1400,1.693598123
1765328000,1410,1.765256226
1765328037,1420,2.19784417
1765328074,1430,2.11180266
1765328111,1440,2.475612743
1765328147,1450,1.917757157
1765328183,1460,2.052753754
1765328220,1470,2.203948764
1765328256,1480,2.086723853
1765328294,1490,2.108796596
1765328331,1500,2.222615342
1765328367,1510,2.505643575
1765328404,1520,2.085077124
1765328441,1530,2.239637192
1765328478,1540,2.212229249
1765328516,1550,2.302751812
1765328553,1560,2.469686336
1765328589,1570,2.08847856
1765328626,1580,1.976113257
1765328663,1590,2.099211104
1765328699,1600,1.947948467
1765328737,1610,1.823900647
1765328774,1620,2.700056341
1765328812,1630,2.078309486
1765328849,1640,1.9807284
1765328886,1650,2.353267105
1765328923,1660,2.207709876
1765328959,1670,2.209976704
1765328996,1680,2.3893047
1765329033,1690,2.080174928
